idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,gt_label
1709,2,19.117105,20230217142602186,None,0,17,21,23,33,35,25,22,20,MapRecord[{gt_label=close}]
1710,2,19.127087,20230217142602196,None,0,17,21,23,33,35,25,22,20,MapRecord[{gt_label=close}]
1711,2,19.137106,20230217142602206,None,0,17,41,23,32,38,26,21,20,MapRecord[{gt_label=close}]
1712,2,19.14709,20230217142602216,None,0,17,41,23,32,38,26,21,20,MapRecord[{gt_label=close}]
1713,2,19.15709,20230217142602226,None,0,17,42,20,31,39,25,19,18,MapRecord[{gt_label=close}]
1714,2,19.167162,20230217142602236,None,0,17,42,20,31,39,25,19,18,MapRecord[{gt_label=close}]
1715,2,19.177124,20230217142602246,None,0,17,42,20,31,39,25,19,18,MapRecord[{gt_label=close}]
1716,2,19.187143,20230217142602256,None,0,19,44,18,33,37,25,18,19,MapRecord[{gt_label=close}]
1717,2,19.19715,20230217142602266,None,0,19,43,20,33,37,23,19,19,MapRecord[{gt_label=close}]
1718,2,19.207117,20230217142602276,None,0,19,43,20,33,37,23,19,19,MapRecord[{gt_label=close}]
1719,2,19.217104,20230217142602286,None,0,20,44,20,35,38,28,22,19,MapRecord[{gt_label=close}]
1720,2,19.227133,20230217142602296,None,0,20,44,20,35,38,28,22,19,MapRecord[{gt_label=close}]
1721,2,19.237148,20230217142602306,None,0,19,26,20,36,39,31,21,18,MapRecord[{gt_label=close}]
1722,2,19.24709,20230217142602316,None,0,19,26,20,36,39,31,21,18,MapRecord[{gt_label=close}]
1723,2,19.257137,20230217142602326,None,0,18,25,23,37,38,31,21,19,MapRecord[{gt_label=close}]
1724,2,19.267164,20230217142602336,None,0,18,25,23,37,38,31,21,19,MapRecord[{gt_label=close}]
1725,2,19.277143,20230217142602346,None,0,19,25,23,34,37,30,20,18,MapRecord[{gt_label=close}]
1726,2,19.287148,20230217142602356,None,0,19,25,23,34,37,30,20,18,MapRecord[{gt_label=close}]
1727,2,19.29709,20230217142602366,None,0,20,26,22,34,37,30,20,17,MapRecord[{gt_label=close}]
1728,2,19.307133,20230217142602376,None,0,20,26,22,34,37,30,20,17,MapRecord[{gt_label=close}]
1729,2,19.317144,20230217142602386,None,0,19,23,22,30,33,25,19,17,MapRecord[{gt_label=close}]
1730,2,19.327143,20230217142602396,None,0,19,23,22,30,33,25,19,17,MapRecord[{gt_label=close}]
1731,2,19.337149,20230217142602406,None,0,18,22,23,36,32,24,18,18,MapRecord[{gt_label=close}]
1732,2,19.347101,20230217142602416,None,0,18,22,23,36,32,24,18,18,MapRecord[{gt_label=close}]
1733,2,19.35711,20230217142602426,None,0,21,21,21,38,34,24,19,19,MapRecord[{gt_label=close}]
1734,2,19.367105,20230217142602436,None,0,21,21,21,38,34,24,19,19,MapRecord[{gt_label=close}]
1735,2,19.377098,20230217142602446,None,0,20,18,22,39,35,25,18,21,MapRecord[{gt_label=close}]
1736,2,19.387138,20230217142602456,None,0,20,18,22,39,35,25,18,21,MapRecord[{gt_label=close}]
1737,2,19.397152,20230217142602466,None,0,19,18,22,39,35,26,19,21,MapRecord[{gt_label=close}]
