idx,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
1500,0,17.025493384,20230217141153246,None,-1,25,87,108,33,34,22,27,30
1501,0,17.035467863,20230217141153256,None,-1,25,94,107,29,34,20,25,26
1502,0,17.045494557,20230217141153266,None,-1,22,98,93,31,37,19,24,25
1503,0,17.055473566,20230217141153276,None,-1,22,98,93,31,37,19,24,25
1504,0,17.065458059,20230217141153286,None,-1,22,98,93,31,37,19,24,25
1505,0,17.075451374,20230217141153296,None,-1,21,104,88,30,41,19,24,26
1506,0,17.085460425,20230217141153306,None,-1,21,104,88,30,41,19,24,26
1507,0,17.095451355,20230217141153316,None,-1,24,107,91,31,40,20,23,27
1508,0,17.1054461,20230217141153326,None,-1,26,106,94,31,39,19,23,25
1509,0,17.115459919,20230217141153336,None,-1,26,106,94,31,39,19,23,25
1510,0,17.12545228,20230217141153346,None,-1,26,106,94,31,39,19,23,25
1511,0,17.135445118,20230217141153356,None,-1,26,102,84,31,40,19,22,25
1512,0,17.145441294,20230217141153366,None,-1,26,102,84,31,40,19,22,25
1513,0,17.15543294,20230217141153376,None,-1,26,91,86,36,36,20,19,26
1514,0,17.165452242,20230217141153386,None,-1,25,74,83,35,33,20,22,26
1515,0,17.175443888,20230217141153396,None,-1,25,74,83,35,33,20,22,26
1516,0,17.185445786,20230217141153406,None,-1,25,74,83,35,33,20,22,26
1517,0,17.195443392,20230217141153416,None,-1,24,70,84,38,33,19,24,25
1518,0,17.205459356,20230217141153426,None,-1,24,70,84,38,33,19,24,25
1519,0,17.215452433,20230217141153436,None,-1,25,82,92,38,35,20,23,25
1520,0,17.225452185,20230217141153446,None,-1,24,79,96,39,32,20,24,24
1521,0,17.235515118,20230217141153456,None,-1,24,79,96,39,32,20,24,24
1522,0,17.24544549,20230217141153466,None,-1,24,79,96,39,32,20,24,24
1523,0,17.255463362,20230217141153476,None,-1,26,87,107,31,33,20,27,25
1524,0,17.265441418,20230217141153486,None,-1,26,87,107,31,33,20,27,25
1525,0,17.27545023,20230217141153496,None,-1,25,88,101,34,36,20,26,25
1526,0,17.285461426,20230217141153506,None,-1,28,93,100,29,34,22,26,23
1527,0,17.295449734,20230217141153516,None,-1,28,93,100,29,34,22,26,23
1528,0,17.30546689,20230217141153526,None,-1,28,93,100,29,34,22,26,23
1529,0,17.315470457,20230217141153536,None,-1,25,82,92,28,33,21,28,22
1530,0,17.32547617,20230217141153546,None,-1,25,82,92,28,33,21,28,22
1531,0,17.335444212,20230217141153556,None,-1,27,105,106,28,33,21,27,24
1532,0,17.345442534,20230217141153566,None,-1,26,102,110,29,32,21,25,23
1533,0,17.355442047,20230217141153576,None,-1,26,102,110,29,32,21,25,23
1534,0,17.365458012,20230217141153586,None,-1,26,102,110,29,32,21,25,23
1535,0,17.375468969,20230217141153596,None,-1,26,97,110,24,26,22,25,22
1536,0,17.385448933,20230217141153606,None,-1,26,97,110,24,26,22,25,22
1537,0,17.395458937,20230217141153616,None,-1,24,94,116,37,26,20,23,22
1538,0,17.405455828,20230217141153626,None,-1,23,92,121,37,26,21,23,24
1539,0,17.415432692,20230217141153636,None,-1,23,92,121,37,26,21,23,24
1540,0,17.425435782,20230217141153646,None,-1,23,92,121,37,26,21,23,24
1541,0,17.435455561,20230217141153656,None,-1,24,71,120,37,23,21,24,23
1542,0,17.445471048,20230217141153666,None,-1,24,71,120,37,23,21,24,23
1543,0,17.455447912,20230217141153676,None,-1,24,75,116,40,29,21,23,22
1544,0,17.465458632,20230217141153686,None,-1,24,82,128,39,32,19,23,23
1545,0,17.475437641,20230217141153696,None,-1,24,82,128,39,32,19,23,23
1546,0,17.485443354,20230217141153706,None,-1,24,82,128,39,32,19,23,23
1547,0,17.495439053,20230217141153716,None,-1,23,79,122,29,32,20,21,22
1548,0,17.505442143,20230217141153726,None,-1,23,79,122,29,32,20,21,22
1549,0,17.515449524,20230217141153736,None,-1,24,89,117,35,32,19,28,20
1550,0,17.525444508,20230217141153746,None,-1,24,89,117,35,32,19,28,20
1551,0,17.535437822,20230217141153756,None,-1,24,80,101,37,32,20,28,20
1552,0,17.545440197,20230217141153766,None,-1,24,80,101,37,32,20,28,20
1553,0,17.555447102,20230217141153776,None,-1,22,71,86,35,32,19,29,19
1554,0,17.565452576,20230217141153786,None,-1,22,71,86,35,32,19,29,19
1555,0,17.575492621,20230217141153796,None,-1,23,70,87,37,31,19,28,22
1556,0,17.585444689,20230217141153806,None,-1,23,70,87,37,31,19,28,22
1557,0,17.595457077,20230217141153816,None,-1,22,93,121,36,31,19,28,25
1558,0,17.605460405,20230217141153826,None,-1,22,93,121,36,31,19,28,25
1559,0,17.615451098,20230217141153836,None,-1,25,86,137,31,33,18,21,25
1560,0,17.625447989,20230217141153846,None,-1,25,86,137,31,33,18,21,25
1561,0,17.635468483,20230217141153856,None,-1,29,106,149,32,33,18,24,26
1562,0,17.645451784,20230217141153866,None,-1,29,106,149,32,33,18,24,26
1563,0,17.65546751,20230217141153876,None,-1,30,105,152,30,31,19,24,28
1564,0,17.665462732,20230217141153886,None,-1,30,105,152,30,31,19,24,28
1565,0,17.675477743,20230217141153896,None,-1,30,102,144,32,34,20,28,27
1566,0,17.685455084,20230217141153906,None,-1,30,102,144,32,34,20,28,27
1567,0,17.695444107,20230217141153916,None,-1,31,85,119,36,36,19,28,25
1568,0,17.705435753,20230217141153926,None,-1,31,85,119,36,36,19,28,25
1569,0,17.715467692,20230217141153936,None,-1,29,85,116,33,34,21,29,26
1570,0,17.72546792,20230217141153946,None,-1,29,85,116,33,34,21,29,26
1571,0,17.735509157,20230217141153956,None,-1,28,67,133,32,35,21,28,27
1572,0,17.745508433,20230217141153966,None,-1,28,67,133,32,35,21,28,27
1573,0,17.755500794,20230217141153976,None,-1,29,79,154,32,33,21,30,25
1574,0,17.76544857,20230217141153986,None,-1,29,79,154,32,33,21,30,25
1575,0,17.775453091,20230217141153996,None,-1,28,83,158,33,33,20,26,24
1576,0,17.785451651,20230217141154006,None,-1,28,83,158,33,33,20,26,24
1577,0,17.795416832,20230217141154016,None,-1,27,79,155,29,36,21,26,25
1578,0,17.805442333,20230217141154026,None,-1,27,79,155,29,36,21,26,25
1579,0,17.815455198,20230217141154036,None,-1,29,70,143,30,34,19,26,24
1580,0,17.825460911,20230217141154046,None,-1,29,70,143,30,34,19,26,24
1581,0,17.835473061,20230217141154056,None,-1,26,65,110,31,33,21,26,24
1582,0,17.84546113,20230217141154066,None,-1,26,65,110,31,33,21,26,24
1583,0,17.855485201,20230217141154076,None,-1,24,49,82,33,35,21,22,25
1584,0,17.865458965,20230217141154086,None,-1,24,49,82,33,35,21,22,25
1585,0,17.875440121,20230217141154096,None,-1,27,71,85,35,44,22,28,25
1586,0,17.885442972,20230217141154106,None,-1,27,71,85,35,44,22,28,25
1587,0,17.89544487,20230217141154116,None,-1,28,78,94,34,41,22,30,26
1588,0,17.905456066,20230217141154126,None,-1,28,78,94,34,41,22,30,26
1589,0,17.915493012,20230217141154136,None,-1,25,82,115,35,42,22,28,25
1590,0,17.925454855,20230217141154146,None,-1,25,82,115,35,42,22,28,25
1591,0,17.93543911,20230217141154156,None,-1,23,82,124,33,42,20,26,25
1592,0,17.945442438,20230217141154166,None,-1,23,82,124,33,42,20,26,25
1593,0,17.955453158,20230217141154176,None,-1,24,84,127,31,41,19,27,24
1594,0,17.965455532,20230217141154186,None,-1,24,84,127,31,41,19,27,24
1595,0,17.975447655,20230217141154196,None,-1,24,61,122,26,26,21,21,27
1596,0,17.985455752,20230217141154206,None,-1,24,61,122,26,26,21,21,27
1597,0,17.995460034,20230217141154216,None,-1,22,67,133,29,26,22,22,26
1598,0,18.005447626,20230217141154226,None,-1,22,67,133,29,26,22,22,26
1599,0,18.015445471,20230217141154236,None,-1,23,62,119,35,32,22,26,27
